Topic,Priority,Service,SentTime,ReceivedTime,TimeSpent
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:45:25.341 +0000 GMT,2024-02-02 01:45:25.349934 +0000 GMT m=+367.965131236,8
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:45:26.927 +0000 GMT,2024-02-02 01:45:26.935606 +0000 GMT m=+369.550800977,8
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:45:28.092 +0000 GMT,2024-02-02 01:45:28.100757 +0000 GMT m=+370.715950460,8
create_transfer,HIGH_PRIORITY_PARTITION,transfer,2024-02-02 01:45:29.265 +0000 GMT,2024-02-02 01:45:29.272773 +0000 GMT m=+371.887963714,7
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:45:51.389288 +0000 UTC,2024-02-02 01:45:51.40652 +0000 GMT m=+45.306659521,17
transfer_status,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:45:51.416 +0000 GMT,2024-02-02 01:45:51.424899 +0000 GMT m=+3.093156091,8
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:14.041952 +0000 UTC,2024-02-02 01:46:14.066731 +0000 GMT m=+67.966831964,24
transfer_status,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:14.075 +0000 GMT,2024-02-02 01:46:14.08364 +0000 GMT m=+25.751858530,8
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:15.804068 +0000 UTC,2024-02-02 01:46:15.831973 +0000 GMT m=+69.732071103,27
transfer_status,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:15.837 +0000 GMT,2024-02-02 01:46:15.845212 +0000 GMT m=+27.513427730,8
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:18.074648 +0000 UTC,2024-02-02 01:46:18.085994 +0000 GMT m=+71.986088373,11
transfer_status,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:18.092 +0000 GMT,2024-02-02 01:46:18.09991 +0000 GMT m=+29.768122174,7
create_transfer,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:29.743291 +0000 UTC,2024-02-02 01:46:29.755006 +0000 GMT m=+83.655080843,11
transfer_status,HIGH_PRIORITY_PARTITION,account,2024-02-02 01:46:29.759 +0000 GMT,2024-02-02 01:46:29.768614 +0000 GMT m=+41.436806595,9
