Priority,Partition,SentTime,ReceivedTime,TimeSpent,PayloadSize
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.921056 +0000 GMT m=+10.447427603,40,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.921236 +0000 GMT m=+10.447607393,40,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.921411 +0000 GMT m=+10.447782363,40,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.921545 +0000 GMT m=+10.447915952,40,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.9217 +0000 GMT m=+10.448071332,40,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.921819 +0000 GMT m=+10.448190841,40,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.921917 +0000 GMT m=+10.448288355,40,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.92202 +0000 GMT m=+10.448391200,41,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.922114 +0000 GMT m=+10.448485121,41,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.922243 +0000 GMT m=+10.448614436,41,83
medium,3,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.922366 +0000 GMT m=+10.448737639,41,83
low,1,2024-02-09 14:28:27.878 +0000 GMT,2024-02-09 14:28:27.922489 +0000 GMT m=+10.448860010,44,83
low,1,2024-02-09 14:28:27.879 +0000 GMT,2024-02-09 14:28:27.922589 +0000 GMT m=+10.448960783,43,83
low,1,2024-02-09 14:28:27.879 +0000 GMT,2024-02-09 14:28:27.922724 +0000 GMT m=+10.449095119,43,83
low,1,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.922886 +0000 GMT m=+10.449257346,42,83
low,1,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.923015 +0000 GMT m=+10.449386679,43,83
low,1,2024-02-09 14:28:27.88 +0000 GMT,2024-02-09 14:28:27.92313 +0000 GMT m=+10.449500998,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.923224 +0000 GMT m=+10.449595588,42,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.923362 +0000 GMT m=+10.449733084,42,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.923479 +0000 GMT m=+10.449850243,42,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.923604 +0000 GMT m=+10.449975047,42,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.923701 +0000 GMT m=+10.450072646,42,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.923806 +0000 GMT m=+10.450177170,42,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.923896 +0000 GMT m=+10.450267213,42,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.924022 +0000 GMT m=+10.450393207,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.92421 +0000 GMT m=+10.450581599,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.924346 +0000 GMT m=+10.450717182,43,83
low,1,2024-02-09 14:28:27.881 +0000 GMT,2024-02-09 14:28:27.924446 +0000 GMT m=+10.450817348,43,83
